program_name_raw,program_name_standardized,mapping_type,notes
AANAPISI,AANAPISI,same,First appears in FY2025-26 source.
ASC Book Fund,ASC Book Fund,same,
"Accessibility, Community, & Opportunity","Accessibility, Community, & Opportunity",same,Later program name used in the FY2025-26 source
Associated Student Council,Associated Student Council,same,
Bruce Mckenna Writing Center,Bruce McKenna Writing Center,spelling_variant,Standardized capitalization of McKenna; appears in the earliest source only.
Child Assist Program,Child Assist Program,same,
Child Assist Program [combined in SSP],Child Assist Program,merged_into_ssp,FY2025-26 source states that the program was combined in SSP.
Cultural Programming & Development (CAB),Cultural Programming & Development (CAB),same,
Emergency Fund,Emergency Fund,same,
"Equity, Diversity, Inclusion, and Community","Accessibility, Community, & Opportunity",renamed_or_reorganized,"FY2024-25 allocation of $9,076.80 is carried forward under Accessibility, Community, & Opportunity in the FY2025-26 source."
First Year Experience Peer Mentors,First Year Experience Peer Mentors,same,First appears in FY2025-26 source.
Food and Resource Pantry,Food and Resource Pantry,same,First appears in FY2025-26 source.
Info Central,Information Central,renamed_or_relabelled,Standardized to the later source name.
Information Central,Information Central,same,
Leadership & Orientation Training,Leadership & Orientation Training,same,
Learning Support Network,Learning Support Network,same,
M. Rosetta Hunter Art Gallary,M. Rosetta Hunter Art Gallery,spelling_variant,Corrected source spelling variant: Gallary → Gallery.
M. Rosetta Hunter Art Gallery,M. Rosetta Hunter Art Gallery,same,
Office Management,Office Management,same,
Parent Support Network,Parent Support Network,historical_only,Appears in the earliest source only.
Phi Theta Kappa,Phi Theta Kappa,same,
SORC,Student Organization Hub,renamed_or_relabelled,Later source reports Student Organization Hub with the same prior-year allocation.
SWAP,Seattle Collegian,renamed_or_relabelled,"SWAP is Student Websites and Publications, which produces The Seattle Collegian."
Seattle Collegian,Seattle Collegian,same,
The Seattle Collegian,Seattle Collegian,naming_variant,Standardized without leading 'The'.
Services & Activities Fees Committee,Services & Activities Fees Committee,same,
Student Engagement,Student Engagement,same,First appears in the FY2024-25 source.
Student Leadership Program,Student Leadership Program,same,
Student Organization Hub,Student Organization Hub,same,
Student Resource Support,Student Resource Support,same,
Student Resource Support [combined in SSP],Student Resource Support,merged_into_ssp,FY2025-26 source states that the program was combined in SSP.
Student Services,Student Services,historical_only,Appears in the earliest source only.
Student Support Program Supervisor,Student Support Program Supervisor,same,First appears in FY2025-26 source.
Umoja Scholars Program,Umoja Scholars Program,same,First appears in FY2025-26 source.
Wood Technology Center,Wood Technology Center,same,
